order_id,order_date,shipment_date,shipment_mode,city,order_year,order_month,order_day
CA-2015-100006,2015-09-07,2015-09-13,Standard Class,New York City,2015,9,7
CA-2015-100090,2015-07-08,2015-07-12,Standard Class,San Francisco,2015,7,8
CA-2015-100293,2015-03-14,2015-03-18,Standard Class,Jacksonville,2015,3,14
CA-2015-100328,2015-01-28,2015-02-03,Standard Class,New York City,2015,1,28
CA-2015-100363,2015-04-08,2015-04-15,Standard Class,Glendale,2015,4,8
CA-2015-100391,2015-05-25,2015-05-29,Standard Class,New York City,2015,5,25
CA-2015-100678,2015-04-18,2015-04-22,Standard Class,Houston,2015,4,18
CA-2015-100706,2015-12-16,2015-12-18,Second Class,Springfield,2015,12,16
CA-2015-100762,2015-11-24,2015-11-29,Standard Class,Jackson,2015,11,24
CA-2015-100860,2015-03-26,2015-03-30,Second Class,Pomona,2015,3,26
CA-2015-100867,2015-10-19,2015-10-24,Standard Class,Lakewood,2015,10,19
CA-2015-100881,2015-03-28,2015-04-01,Standard Class,Albuquerque,2015,3,28
CA-2015-100895,2015-06-02,2015-06-06,Standard Class,Roswell,2015,6,2
CA-2015-100916,2015-10-21,2015-10-26,Standard Class,Newport News,2015,10,21
CA-2015-100972,2015-11-19,2015-11-24,Second Class,Salt Lake City,2015,11,19
CA-2015-101147,2015-12-02,2015-12-04,First Class,Chicago,2015,12,2
CA-2015-101175,2015-12-09,2015-12-14,Standard Class,Mesa,2015,12,9
CA-2015-101266,2015-08-27,2015-08-30,Second Class,Springfield,2015,8,27
CA-2015-101364,2015-12-22,2015-12-26,Standard Class,New York City,2015,12,22
CA-2015-101392,2015-12-07,2015-12-13,Standard Class,Seattle,2015,12,7
CA-2015-101427,2015-12-26,2015-12-30,Standard Class,Philadelphia,2015,12,26
CA-2015-101462,2015-04-20,2015-04-25,Standard Class,Los Angeles,2015,4,20
CA-2015-101476,2015-09-12,2015-09-13,First Class,New Rochelle,2015,9,12
CA-2015-101560,2015-11-28,2015-12-01,Second Class,Columbia,2015,11,28
CA-2015-101602,2015-12-15,2015-12-18,First Class,El Paso,2015,12,15
CA-2015-101770,2015-03-31,2015-04-04,Standard Class,Miami,2015,3,31
CA-2015-101833,2015-11-17,2015-11-22,Second Class,New York City,2015,11,17
CA-2015-101931,2015-10-28,2015-10-31,First Class,Los Angeles,2015,10,28
CA-2015-102008,2015-09-30,2015-10-04,Standard Class,New York City,2015,9,30
CA-2015-102085,2015-10-04,2015-10-09,Standard Class,Seattle,2015,10,4
CA-2015-102274,2015-11-21,2015-11-26,Standard Class,Richmond,2015,11,21
CA-2015-102295,2015-11-24,2015-11-26,Second Class,Sacramento,2015,11,24
CA-2015-102330,2015-12-29,2016-01-03,Standard Class,Brentwood,2015,12,29
CA-2015-102645,2015-01-23,2015-01-28,Standard Class,Las Vegas,2015,1,23
CA-2015-102652,2015-04-06,2015-04-12,Standard Class,Los Angeles,2015,4,6
CA-2015-102673,2015-11-01,2015-11-05,Standard Class,Charlotte,2015,11,1
CA-2015-102869,2015-09-09,2015-09-14,Second Class,Philadelphia,2015,9,9
CA-2015-102988,2015-04-05,2015-04-09,Second Class,Alexandria,2015,4,5
CA-2015-103058,2015-07-23,2015-07-24,First Class,New York City,2015,7,23
CA-2015-103086,2015-10-17,2015-10-19,Second Class,Houston,2015,10,17
CA-2015-103100,2015-12-20,2015-12-23,First Class,Indianapolis,2015,12,20
CA-2015-103191,2015-09-22,2015-09-27,Standard Class,Chicago,2015,9,22
CA-2015-103219,2015-11-09,2015-11-13,Standard Class,New York City,2015,11,9
CA-2015-103310,2015-05-10,2015-05-15,Standard Class,San Jose,2015,5,10
CA-2015-103317,2015-07-05,2015-07-08,First Class,Palm Coast,2015,7,5
CA-2015-103331,2015-08-26,2015-09-01,Standard Class,Newark,2015,8,26
CA-2015-103366,2015-01-15,2015-01-17,First Class,Roswell,2015,1,15
CA-2015-103373,2015-05-18,2015-05-24,Standard Class,Cleveland,2015,5,18
CA-2015-103401,2015-11-21,2015-11-26,Standard Class,San Francisco,2015,11,21
CA-2015-103429,2015-05-30,2015-06-01,First Class,New York City,2015,5,30
CA-2015-103492,2015-10-10,2015-10-15,Standard Class,Huntsville,2015,10,10
CA-2015-103527,2015-09-09,2015-09-14,Second Class,Chicago,2015,9,9
CA-2015-103590,2015-11-30,2015-12-04,Standard Class,Mount Vernon,2015,11,30
CA-2015-103660,2015-08-25,2015-08-30,Standard Class,Seattle,2015,8,25
CA-2015-103702,2015-09-12,2015-09-17,Standard Class,Fairfield,2015,9,12
